index,title,genres,story_line,cast,director
5934,Khooni Tantrik,"Drama, Horror, Thriller","Rajan and Rajni have been married for several years but are childless. Rajni goes to worship Hindu Devas and Devis in various temples in order to give birth, but this irritates Rajan. Then ...       »","Vishal Bubna,Chanu,Ena Chauhan,Poonam Dasgupta",Teerat Singh
5935,Husn Ke Lootere,Action,"Inspector Vishnu lives with his wife, Meenu, and a child. He is a honest and diligent Police Officer, and is presently investigating a corrupt businessman and gangster named Kamraj. When ...       »","Charan Raj,Sathaar",T.S. Mohan
5936,Lagi Shaarth,Family,,"Rajan Bhise,Nachiket Dighe,Medhar Kulkarini,Vidya Patvardhan",Raghuvir Kulkarni
5937,Naakhoon,Horror,,"Abhishek,Chandni Gupta",Dinesh Thakkar
5938,Main Diwani,Romance,,,
5939,Paraya Pyar,Thriller,,,
5940,Mohabbatein,"Drama, Musical, Romance","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.","Amitabh Bachchan,Shah Rukh Khan,Uday Chopra,Jugal Hansraj",Aditya Chopra
5941,Hera Pheri,"Action, Comedy, Crime","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","Akshay Kumar,Suniel Shetty,Paresh Rawal,Tabu",Priyadarshan
5942,Kaho Naa... Pyaar Hai,"Action, Musical, Romance",A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,"Hrithik Roshan,Ameesha Patel,Anupam Kher,Dalip Tahil",Rakesh Roshan
5943,Phir Bhi Dil Hai Hindustani,"Comedy, Drama, Musical","In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.","Shah Rukh Khan,Juhi Chawla,Johny Lever,Paresh Rawal",Aziz Mirza
5944,Bichhoo,"Action, Crime, Drama",A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.,"Bobby Deol,Rani Mukerji,Ashish Vidyarthi,Farida Jalal",Guddu Dhanoa
5945,Josh,"Action, Drama, Musical","Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.","Shah Rukh Khan,Aishwarya Rai Bachchan,Chandrachur Singh,Sharad S. Kapoor",Mansoor Khan
5946,Chimanee Pakhre,Drama,"Nandini is on last stage of cancer during this time tragedy strikes as her husband is killed by a village rival,Nandini now is forced to put all her four children for adoption to give them a better life.","Anand Abhyankar,Laxmikant Berde,Priya Arun Berde,Nagesh Bhonsle",Mahesh Kothare
5947,Har Dil Jo Pyar Karega...,"Comedy, Drama, Musical",Raj is a struggling singer with big dreams who is still waiting for his big break. One night he witnesses an accident where a car spins out of control and lands on the tracks of an ...       »,"Salman Khan,Preity G Zinta,Rani Mukerji,Rajeev Verma",Raj Kanwar
5948,Doraemon: Nobita no Taiyô'ô densetsu,"Animation, Adventure, Comedy","Doraemon, Nobita, Shizuka, Gian, and Suneo hear the legend of the Sun King and try to find him. Along the way they meet Dakidaki, a geeky girl who offers to help them out. With the help of ...       »","Nobuyo Ôyama,Noriko Ohara,Michiko Nomura,Kaneta Kimotsuki",Tsutomu Shibayama
5949,Hadh Kar Di Aapne,"Comedy, Romance","Raj, a detective, goes on a Europe trip for his friend's case. During the trip, he falls in love with Anjali, who is impersonating her best friend. Their journey together ensues romance and comic confusion.","Govinda,Rani Mukerji,Johny Lever,Paresh Rawal",Manoj Agrawal
5950,Hamara Dil Aapke Paas Hai,"Action, Drama, Romance","Inspired by the Telugu film, ""Pelli Chuskundam,"" the plot follows the life of a rape victim (Aishwarya Rai). Now, a disgrace to her family, she is turned away from her house after the ...       »","Anil Kapoor,Aishwarya Rai Bachchan,Sonali Bendre,Puru Rajkumar",Satish Kaushik
5951,Badal,"Action, Crime, Drama","Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP....       »","Bobby Deol,Rani Mukerji,Mayuri Kango,Ashutosh Rana",Raj Kanwar
5952,Dhadkan,"Drama, Romance","Anjali and Dev are in love and plan to marry, but her family gets her married to Ram. Years later, Dev shows up to reunite with Anjali, who has managed to fall in love with her husband.","Akshay Kumar,Shilpa Shetty Kundra,Suniel Shetty,Mahima Chaudhry",Dharmesh Darshan
5953,Bulandi,"Action, Drama",A noble family presides over a small town in India.,"Anil Kapoor,Rekha,Raveena Tandon,Rajinikanth",Rama Rao Tatineni
5954,Dulhan Hum Le Jayenge,"Comedy, Drama, Romance","Sapna has lost her parents at an early age and lives with her three quirky uncles - Bhola Nath is a fitness freak, Prabhu Nath is a deeply religious fellow and Vicky Nath is a disco-savvy ...       »","Salman Khan,Karisma Kapoor,Om Puri,Paresh Rawal",David Dhawan
5955,Pukar,"Action, Drama, Romance",A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.,"Anil Kapoor,Madhuri Dixit,Namrata Shirodkar,Om Puri",Rajkumar Santoshi
5956,Mission Kashmir,"Action, Drama, Thriller",A police officer adopts the son and sole survivor of a family he has massacred while pursuing a terrorist. After some time the foster son finds out what the stepfather did.,"Sanjay Dutt,Hrithik Roshan,Preity G Zinta,Sonali Kulkarni",Vidhu Vinod Chopra
5957,Kya Kehna,"Drama, Romance",A young college girl faces hardships and challenges after she becomes a mother without marriage,"Preity G Zinta,Saif Ali Khan,Chandrachur Singh,Anupam Kher",Kundan Shah
5958,Kahin Pyaar Na Ho Jaaye,"Comedy, Drama, Musical","Musician Prem Kapoor lives with his sister, Neelu, brother-in-law Vinod, his niece and a nephew. He has plans of getting married to his fiancee, Nisha; unfortunately on the wedding day ...       »","Kashmira Shah,Salman Khan,Jackie Shroff,Rani Mukerji",K. Muralimohana Rao
5959,Kurukshetra,"Action, Crime, Drama","ACP Prithviraj is an honest cop. When he arrests the Chief Minister's son for assaulting a girl, the minister tries his best to create havoc in Prithviraj's life.","Mukesh Rishi,Sanjay Dutt,Mahima Chaudhry,Om Puri",Mahesh Manjrekar
5960,Bawandar,Drama,Shoba T. Mathur works for the Central Government in India and her job is to create awareness against child-marriage and other social evils that prevail due to general misinterpretation of ...       »,"Nandita Das,Raghuvir Yadav,Deepti Naval,Rahul Khanna",Jag Mundhra
5961,Daku Ramkali,"Adventure, Drama, Musical",Sher Singh and Arjun Singh are identical twin brothers. Arjun is an honest police officer but Sher Singh becomes a dacoit under the influence of Bajrang and his gang. Sher Singh's daughter ...       »,"Sapna Sappu,Jay Thakur,Rajesh Vivek,Joginder Shelly",Kanti Shah
5962,Fiza,"Crime, Drama, Romance",In 1993 Fiza's brother Aman disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,"Karisma Kapoor,Hrithik Roshan,Jaya Bachchan,Shabana Raza",Khalid Mohamed
5963,Jung,"Action, Crime, Drama",A police officer is in a frantic search for a compatible bone-marrow donor for his gravely-ill son. The only match is a convicted vicious killer who is now on the run. All he has to do is catch him.,"Sanjay Dutt,Jackie Shroff,Aditya Pancholi,Raveena Tandon",Sanjay Gupta
5964,Mela,"Action, Adventure, Comedy","When a village belle's brother is killed by a bandit, she vows revenge and enlists the help of two truckers-cum-theatre artists in her mission.","Aamir Khan,Twinkle Khanna,Faisal Khan,Johny Lever",Dharmesh Darshan
5965,Raju Chacha,"Action, Comedy, Drama",Raju is hired to pose as uncle to three orphaned kids in order to usurp their inheritance. But he changes his mind after falling in love with their governess and decides to fight the greedy relatives.,"Kajol,Ajay Devgn,Rishi Kapoor,Tiku Talsania",Anil Devgan
5966,Aaghaaz,"Action, Crime, Drama",An honest and diligent man's life turns upside down after making an enemy in a ruthless mafia gang after he saves a girl from being molested by them.,"Suniel Shetty,Sushmita Sen,Namrata Shirodkar,Suman Ranganath",Yogesh Ishwar
5967,Jungle,"Action, Adventure, Romance","A survival tale of two lovers, who tries their best to escape a jungle which is governed by a cold blooded dacoit.","Suniel Shetty,Fardeen Khan,Urmila Matondkar,Sushant Singh",Ram Gopal Varma
5968,Refugee,"Drama, Musical, Romance",A young man who smuggles illegal weapons and people back and forth over the borders between India and Pakistan falls in love with a young woman whose family he helped.,"Jackie Shroff,Suniel Shetty,Abhishek Bachchan,Kareena Kapoor",J.P. Dutta
5969,Dhaai Akshar Prem Ke,"Drama, Romance","Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave. On the way to...       »","Abhishek Bachchan,Aishwarya Rai Bachchan,Amrish Puri,Anupam Kher",Raj Kanwar
5970,Krodh,"Action, Comedy, Drama","An overprotective brother, who wants to keep his five sisters safe from the cruel world, faces antagonism from them after they turn against him.","Suniel Shetty,Rambha,Apurva Agnihotri,Sakshi Shivanand",Ashok Honda
5971,Chal Mere Bhai,"Comedy, Romance","Vicky, a businessman, loves his younger brother Prem, who spends his time chasing women. The family feels that secretary Sapna will make a good wife for Vicky, but she is already in love with Prem.","Sanjay Dutt,Salman Khan,Karisma Kapoor,Dalip Tahil",David Dhawan
5972,Champion,"Action, Comedy, Drama","Rajveer, an aspiring police officer is given a task to save Abbas from a cold blooded criminal Nazeer. Though Abbas and Rajveer hate each other but realizing the tragedy behind his parents death brings them closer.","Sunny Deol,Prasant Samadhar,Manisha Koirala,Rahul Dev",
5973,Deewane,"Action, Romance","Policeman Vishal is shot when his boss bungles a raid on a boat. To avoid the wrath of Vishal's family, his boss hires a lookalike to stop their suspicions. But when the policeman's ...       »","Ajay Devgn,Urmila Matondkar,Mahima Chaudhry,Paresh Rawal",Harry Baweja
5974,Jwalamukhi,"Action, Drama",After a Cop tries to change the rules in a village he gets killed by the village goons. His spirit then starts to haunt them. He also helps his fellow cop to fight against his killers.,"Sheeba Agarwal,Dolly Bindra,Mithun Chakraborty,Jack Gaud",
5975,Gang,"Action, Crime, Drama","After falling prey to underworld, four friends jeopardize their personal lives with point of no return.","Jackie Shroff,Nana Patekar,Kumar Gaurav,Jaaved Jaaferi",Mazhar Khan
5976,Kunwara,"Comedy, Drama, Romance","Raju meets Urmila in New Zealand. They have a fast romance and things are going well until Raju must make a trip back to India. While he is there, he meets Sharmila, pregnant and jilted by ...       »","Govinda,Urmila Matondkar,Nagma,Om Puri",David Dhawan
5977,Shikari,"Crime, Drama, Thriller","Filled with vengeance, a simple man turns into a hardcore criminal in order to avenge the destruction of his family.","Govinda,Tabu,Karisma Kapoor,Shweta Menon",N. Chandra
5978,Khiladi 420,"Action, Romance, Thriller","Dev, a conman, gets killed by his wife Ritu, after she learns that the former is a debt-ridden thug who married her only to repay his debts. Her life turns upside down when she meets Anand, Dev's identical twin brother.","Akshay Kumar,Mahima Chaudhry,Antara Mali,Sudhanshu Pandey",Neeraj Vora
5979,Mere Aagosh Mein,Thriller,"A woman who dumps her boyfriend for a rich, older man regrets that choice when her ex takes up with her new stepdaughter.","Rana Jung Bahadur,Kirti,Kirti Shetty,Balli Grover",B. Prasad
5980,Raja Ko Rani Se Pyar Ho Gaya,"Comedy, Musical, Romance","Mohit, a young man raised into beliving in fairy tales, comes to Bombay to find Manisha, a young woman whom he saved from drowning in a lake near his village, whom he belives to be an ...       »","Arvind Swami,Manisha Koirala,Dilip Dhawan,Dina Pathak",Rajeev Kumar
5981,Kaali Topi Lal Rumaal,"Action, Crime, Drama","Vijay lives a poor lifestyle in India along with his widowed mom and brother, Raja. When their mom become seriously ill, they do not have money to pay for her medicines, Raja steals some ...       »","Mithun Chakraborty,Zeenat Ibrahim,Kamal Sadanah,Rituparna Sengupta",Vijay Reddy
5982,Joru Ka Ghulam,"Comedy, Drama, Romance","A conman disguises himself as a groom in order to con a wealthy yet a troubled businessman, later reforms his criminal ways to win his ladylove.","Govinda,Twinkle Khanna,Kader Khan,Ashok Saraf",Shakeel Noorani
5983,Jis Desh Mein Ganga Rehta Hain,"Comedy, Crime, Drama",Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and ...       »,"Govinda,Sonali Bendre,Rinke Khanna,Milind Gunaji",Mahesh Manjrekar
5984,Dacait,Action,,"Dharmendra,Satnam Kaur,Prithvi Vazir,Kiran Kumar",Jitendra Chawda
5985,Hum To Mohabbat Karega,"Action, Comedy, Romance","Raju, a waiter, is crazy about TV reporter, Geeta. During an investigation, in order to prolong their meetings, he bears false witness to a murder and misleads the police with a fake description.","Karisma Kapoor,Bobby Deol,Rohit Roy,Sadashiv Amrapurkar",Kundan Shah
5986,Tarkieb,"Mystery, Thriller",A CID inspector tries to crack the murder case of a young woman.,"Nana Patekar,Tabu,Shilpa Shetty Kundra,Aditya Pancholi",Esmayeel Shroff
5987,Ek Sthree,Drama,Story of lonely house wife being love with guy,"Suman Ranganath,Kashish,Vivek Anand",Anil
5988,Meri Jung Ka Elaan,Action,"Durga lives a poor lifestyle in Rajapur along with her brother, Kishan. She is of marriageable age and Kishan arranges her marriage with her childhood sweetheart, Shankar Singh and goes to ...       »","Dharmendra,Sapna Sappu,Satnam Kaur,Amit Pachori",Kanti Shah
5989,Beti No. 1,"Comedy, Drama, Family","Durga Devi has three sons, Ram, Laxman and Bharat. She wants a heir to carry the family name forward. Ram and Laxman are married and have so far only produced girls, much to their mother's ...       »","Rakesh Bedi,Laxmikant Berde,Birbal,Prem Chopra",Rama Rao Tatineni
5990,Baaghi,"Action, Crime, Drama","Growing up in Mumbai, Surya is in awe of a powerful local gangster and helps out his gang. Soon, he enters into a life of crime where there is no turning back.","Sanjay Dutt,Manisha Koirala,Aditya Pancholi,Inder Kumar",Rajesh Ram Singh
5991,Tera Jadoo Chal Gayaa,"Musical, Romance","On a visit to scenic Agra, Pooja meets with a reknown artist, Kabir. Kabir is instantly attracted to Pooja, and thinks that Pooja is also attracted to him. But Pooja is only attracted by ...       »","Abhishek Bachchan,Kirti Reddy,Sanjay Suri,Kader Khan",A. Muthu
5992,Billa No. 786,Action,Billa No 786 is the story of Shankar who had promised his dying mother that he would marry her friends daughter Pinky and thus fulfill her dream. After his mother's death along with sister ...       »,"Mashail Khan Agnihotri,Yusuf Bawa,Mithun Chakraborty,Gajendra Chauhan",Imran Khalid
5993,Gaja Gamini,"Drama, Fantasy","Gaja Gamini, the embodiment of the Indian spirit, inspires artists of all kinds, interacts with and influences the West, and exists through the ages.","Madhuri Dixit,Shabana Azmi,Naseeruddin Shah,Shilpa Shirodkar",M.F. Hussain
5994,Yamam,Thriller,"Yamam is a 1999 Indian Malayalam film, directed by Shree and produced by D. Sajith. The film stars Maria, Reshma and Roshni in lead roles. The music of the film was composed by S.P. Bhoopathi.","Maria,Reshma,Roshni,Noushad",Shree
5995,Hari-Bhari,"Drama, Family","Ghazala (Shabana Azmi) has been married to Munirmiya (Srivallabh Vyas) for several years, and has given birth to a daughter, Salma (Rajeshwari Sachdev) Munir is unhappy that Ghazala has ...       »","Shabana Azmi,Rajit Kapoor,Rajeshwari Sachdev,Surekha Sikri",Shyam Benegal
5996,Khauff,"Action, Crime, Drama","An assassin is sent to kill the witness from testifying against the killers. In the process, the assassin falls in love with the witness.","Sanjay Dutt,Manisha Koirala,Sharad S. Kapoor,Simran",Sanjay Gupta
5997,Khauff,"Action, Crime, Drama","An assassin is sent to kill the witness from testifying against the killers. In the process, the assassin falls in love with the witness.","Sanjay Dutt,Manisha Koirala,Sharad S. Kapoor,Simran",Sanjay Gupta
5998,Karobaar: The Business of Love,"Drama, Romance","Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, ...       »","Juhi Chawla,Anil Kapoor,Rishi Kapoor,Tinnu Anand",Rakesh Roshan
5999,Nagadevathe,"Drama, Fantasy","Naga Devathe is a 2000 Indian Kannada Devotional directed by Om Saiprakash and produced by Sri Lakshmi Sai Creations. It stars Saikumar, Prema, Charulatha, Soundarya,Babu Mohan, Ranganath,...       »","Soundarya,Prema,Sai Kumar,Charulatha",Om Sai Prakash
6000,Sultaan,"Action, Drama","Kabira helps Ayesha in saving her garage from local goons. However, he hides the fact that he was an honest inspector sometime ago. Ayesha decides to find out the reason for his transformation.","Vikas Anand,Birbal,Mithun Chakraborty,Dharmendra",T.L.V. Prasad
6001,Jai Jwala Maa,Drama,,"Vaidehi Amrute,Anil Dhawan,Deep Dhillon,Yash Gawli",Dharmesh Tiwari
6002,Bhoot Hi Bhoot,Horror,"Bhoot Hi Bhoot is a 2000 film, directed by Boss and produced by Suresh Bhandari. The film stars Sajid, Imran, Shaheen, Ashish, Tammanna, Reshama and Varsha in lead roles. The film had musical score by Ashwin.","Ashish,Imran,Reshama,Sajid",
6003,Adhuri Suhagraat,Drama,,"Rakesh Bedi,Mohnish Behl,Amita Nangia,Gufi Paintal",Naresh Gupta
6004,Daku Maharani,Action,"Daku Maharani is a 2000 Hindi film, directed by Teerat Singh. The film stars Satnam Kaur, Deepak Shirke, Kiran Kumar in lead roles. Watch full movie Daku Maharani online, only on Eros Now.","Ramesh Goyal,Satnam Kaur,Ali Khan,Kiran Kumar",Teerat Singh
6005,Dil Pe Mat Le Yaar!!,"Crime, Drama","Born in Jaunpur, Uttar Pradesh, Ram Saran Pandey, relocates to Bombay, Maharashtra, to improve his lifestyle, leaving behind his mom and dad, Sudama, with a promise to call them to Bombay ...       »","Manoj Bajpayee,Tabu,Saurabh Shukla,Aditya Srivastav",Hansal Mehta
6006,Aaj Ka Ravan,"Action, Crime","A Journalist is shot to death at the doorstep of Shanti, also a Journalist, who swears that she will bring the culprit, Vishtar Nath, to justice. She goes to file a report at the local ...       »","Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan",Imran Khalid
6007,Shikaar,"Action, Mystery","Sree Nath falls in love with a poor woman and both get intimate, resulting in her getting pregnant. When the time comes for Sree to marry her, he renounces her and instead marries the ...       »","Abhishek Kapoor,Vikas Bhalla,Ayesha Jhulka,Anupam Kher",Bobby Raj
